0.000,0.000,0.000,-2.000,2.356,1.885,1.178,-0.000,-0.000,-0.000
0.010,0.024,0.019,-1.988,2.356,1.884,1.178,-0.058,-0.186,-0.029
0.020,0.047,0.038,-1.976,2.355,1.881,1.178,-0.116,-0.372,-0.058
0.030,0.071,0.056,-1.965,2.354,1.877,1.177,-0.174,-0.557,-0.087
0.040,0.094,0.075,-1.953,2.352,1.870,1.176,-0.232,-0.742,-0.116
0.050,0.118,0.094,-1.941,2.349,1.862,1.174,-0.290,-0.926,-0.145
0.060,0.141,0.112,-1.929,2.346,1.852,1.173,-0.348,-1.110,-0.174
0.070,0.165,0.131,-1.918,2.342,1.840,1.171,-0.406,-1.292,-0.203
0.080,0.188,0.149,-1.906,2.338,1.826,1.169,-0.464,-1.473,-0.232
0.090,0.211,0.167,-1.894,2.333,1.810,1.166,-0.521,-1.652,-0.261
0.100,0.235,0.185,-1.883,2.327,1.793,1.164,-0.579,-1.830,-0.289
0.110,0.258,0.203,-1.871,2.321,1.774,1.161,-0.636,-2.006,-0.318
0.120,0.281,0.221,-1.859,2.314,1.753,1.157,-0.694,-2.180,-0.347
0.130,0.304,0.238,-1.848,2.307,1.730,1.154,-0.751,-2.352,-0.375
0.140,0.327,0.255,-1.836,2.299,1.706,1.150,-0.807,-2.521,-0.404
0.150,0.350,0.272,-1.825,2.291,1.680,1.146,-0.864,-2.688,-0.432
0.160,0.373,0.289,-1.813,2.282,1.652,1.141,-0.920,-2.853,-0.460
0.170,0.396,0.305,-1.802,2.273,1.622,1.136,-0.977,-3.014,-0.488
0.180,0.418,0.321,-1.791,2.263,1.592,1.131,-1.033,-3.173,-0.516
0.190,0.441,0.337,-1.779,2.252,1.559,1.126,-1.088,-3.329,-0.544
0.200,0.464,0.353,-1.768,2.241,1.525,1.120,-1.144,-3.481,-0.572
0.210,0.486,0.368,-1.757,2.229,1.489,1.115,-1.199,-3.629,-0.599
0.220,0.508,0.382,-1.746,2.217,1.452,1.108,-1.254,-3.775,-0.627
0.230,0.530,0.397,-1.735,2.204,1.414,1.102,-1.308,-3.916,-0.654
