0.000,0.000,0.000,-2.000,2.356,1.885,1.178,-0.000,-0.000,-0.000
0.020,0.047,0.038,-1.976,2.355,1.881,1.178,-0.116,-0.372,-0.058
0.040,0.094,0.075,-1.953,2.352,1.870,1.176,-0.232,-0.742,-0.116
0.060,0.141,0.112,-1.929,2.346,1.852,1.173,-0.348,-1.110,-0.174
0.080,0.188,0.149,-1.906,2.338,1.826,1.169,-0.464,-1.473,-0.232
0.100,0.235,0.185,-1.883,2.327,1.793,1.164,-0.579,-1.830,-0.289
0.120,0.281,0.221,-1.859,2.314,1.753,1.157,-0.694,-2.180,-0.347
0.140,0.327,0.255,-1.836,2.299,1.706,1.150,-0.807,-2.521,-0.404
0.160,0.373,0.289,-1.813,2.282,1.652,1.141,-0.920,-2.853,-0.460
0.180,0.418,0.321,-1.791,2.263,1.592,1.131,-1.033,-3.173,-0.516
0.200,0.464,0.353,-1.768,2.241,1.525,1.120,-1.144,-3.481,-0.572
0.220,0.508,0.382,-1.746,2.217,1.452,1.108,-1.254,-3.775,-0.627
0.240,0.552,0.411,-1.724,2.191,1.374,1.095,-1.362,-4.054,-0.681
0.260,0.596,0.437,-1.702,2.162,1.290,1.081,-1.470,-4.317,-0.735
0.280,0.639,0.462,-1.681,2.132,1.202,1.066,-1.576,-4.563,-0.788
0.300,0.681,0.485,-1.660,2.099,1.108,1.050,-1.680,-4.791,-0.840
0.320,0.723,0.507,-1.639,2.065,1.010,1.032,-1.783,-5.000,-0.892
0.340,0.764,0.526,-1.618,2.028,0.908,1.014,-1.884,-5.189,-0.942
0.360,0.804,0.543,-1.598,1.989,0.803,0.995,-1.983,-5.358,-0.992
0.380,0.843,0.558,-1.578,1.949,0.694,0.974,-2.080,-5.506,-1.040
0.400,0.882,0.571,-1.559,1.906,0.582,0.953,-2.175,-5.632,-1.088
0.420,0.919,0.581,-1.540,1.862,0.469,0.931,-2.268,-5.736,-1.134
0.440,0.956,0.589,-1.522,1.815,0.353,0.908,-2.359,-5.817,-1.180
0.460,0.992,0.595,-1.504,1.767,0.236,0.884,-2.448,-5.875,-1.224
0.480,1.027,0.599,-1.487,1.718,0.118,0.859,-2.534,-5.910,-1.267
