time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.619996,-0.000442,-0.006153,-0.000836
0.624996,-0.000423,-0.005945,-0.000803
0.629995,-0.000412,-0.005781,-0.000774
0.634995,-0.000395,-0.005535,-0.000739
0.639995,-0.000384,-0.005353,-0.000713
0.644995,-0.000368,-0.005045,-0.000686
0.649995,-0.000359,-0.004835,-0.000663
0.654995,-0.000349,-0.004509,-0.000623
0.659995,-0.000344,-0.004292,-0.000597
0.664995,-0.000338,-0.003960,-0.000589
0.669995,-0.000334,-0.003738,-0.000600
0.674995,-0.000326,-0.003385,-0.000618
0.679995,-0.000321,-0.003140,-0.000639
0.684995,-0.000312,-0.002773,-0.000660
0.689995,-0.000307,-0.002517,-0.000674
0.694995,-0.000302,-0.002169,-0.000703
0.699995,-0.000300,-0.001969,-0.000734
0.704994,-0.000298,-0.001676,-0.000742
0.709994,-0.000296,-0.001482,-0.000727
0.714994,-0.000294,-0.001211,-0.000705
0.719994,-0.000293,-0.001046,-0.000704
0.724994,-0.000291,-0.000823,-0.000676
0.729994,-0.000289,-0.000677,-0.000640
0.734994,-0.000286,-0.000471,-0.000595
0.739994,-0.000283,-0.000318,-0.000600
0.744994,-0.000280,-0.000085,-0.000624
0.749994,-0.000279,0.000070,-0.000645
0.754994,-0.000278,0.000309,-0.000668
0.759994,-0.000278,0.000475,-0.000682
0.764994,-0.000279,0.000699,-0.000709
0.769994,-0.000280,0.000835,-0.000716
0.774994,-0.000284,0.001017,-0.000710
0.779994,-0.000286,0.001127,-0.000699
0.784993,-0.000291,0.001271,-0.000675
0.789993,-0.000294,0.001372,-0.000658
0.794993,-0.000298,0.001499,-0.000633
0.799993,-0.000301,0.001584,-0.000613
0.804993,-0.000305,0.001679,-0.000587
0.809993,-0.000307,0.001729,-0.000583
0.814993,-0.000312,0.001787,-0.000601
0.819993,-0.000313,0.001809,-0.000603
0.824993,-0.000316,0.001852,-0.000601
0.829993,-0.000320,0.001859,-0.000602
0.834993,-0.000327,0.001867,-0.000622
0.839993,-0.000330,0.001871,-0.000625
0.844993,-0.000336,0.001900,-0.000612
0.849993,-0.000340,0.001928,-0.000616
0.854993,-0.000345,0.001974,-0.000639
0.859993,-0.000349,0.001985,-0.000668
0.864992,-0.000355,0.001980,-0.000690
0.869992,-0.000359,0.001980,-0.000703
0.874992,-0.000364,0.001968,-0.000711
0.879992,-0.000369,0.001965,-0.000718
0.884992,-0.000375,0.001971,-0.000721
0.889992,-0.000380,0.001971,-0.000728
0.894992,-0.000387,0.001953,-0.000733
0.899992,-0.000392,0.001935,-0.000741
0.904992,-0.000398,0.001901,-0.000754
0.909992,-0.000402,0.001877,-0.000896
0.914992,-0.000410,0.001838,-0.001480
0.919992,-0.000420,0.001808,-0.002157
0.924992,-0.000444,0.001732,-0.003652
0.929992,-0.000466,0.001698,-0.004920
0.934992,-0.000511,0.001666,-0.007051
0.939991,-0.000549,0.001628,-0.008510
0.944991,-0.000611,0.001539,-0.010546
0.949991,-0.000652,0.001466,-0.011662
0.954991,-0.000712,0.001349,-0.012863
0.959991,-0.000746,0.001261,-0.013285
0.964991,-0.000778,0.001105,-0.013364
0.969991,-0.000790,0.001000,-0.013097
0.974991,-0.000793,0.000841,-0.012302
0.979991,-0.000791,0.000751,-0.011591
0.984991,-0.000781,0.000632,-0.010377
0.989991,-0.000772,0.000565,-0.009525
0.994991,-0.000760,0.000485,-0.008267
0.999991,-0.000757,0.000452,-0.007477
1.004991,-0.000754,0.000418,-0.006427
1.009991,-0.000752,0.000396,-0.005827
1.014991,-0.000743,0.000357,-0.005131
1.019992,-0.000736,0.000333,-0.004784
1.024992,-0.000731,0.000314,-0.004413
1.029992,-0.000723,0.000294,-0.004258
1.034992,-0.000716,0.000272,-0.004126
1.039993,-0.000715,0.000263,-0.004088
1.044993,-0.000717,0.000259,-0.004056
1.049993,-0.000713,0.000247,-0.004045
1.054993,-0.000705,0.000226,-0.004001
1.059994,-0.000697,0.000211,-0.003770
1.064994,-0.000682,0.000188,-0.002802
1.069994,-0.000675,0.000177,-0.001713
1.074994,-0.000660,0.000161,0.000529
1.079994,-0.000646,0.000149,0.002388
1.084995,-0.000630,0.000141,0.005591
1.089995,-0.000613,0.000131,0.007907
1.094995,-0.000585,0.000113,0.011553
1.099995,-0.000564,0.000100,0.014015
1.104996,-0.000542,0.000102,0.017526
1.109996,-0.000530,0.000121,0.019580
1.114996,-0.000519,0.000200,0.021834
1.119996,-0.000506,0.000268,0.022644
1.124997,-0.000469,0.000365,0.022913
1.129997,-0.000435,0.000425,0.022570
1.134997,-0.000374,0.000481,0.021401
1.139997,-0.000331,0.000508,0.020294
1.144997,-0.000266,0.000538,0.018299
1.149998,-0.000227,0.000544,0.016861
1.154998,-0.000181,0.000525,0.014629
1.159998,-0.000162,0.000494,0.013121
1.164998,-0.000151,0.000432,0.010884
1.169999,-0.000159,0.000370,0.009446
1.174999,-0.000187,0.000271,0.007404
1.179999,-0.000218,0.000200,0.006140
1.184999,-0.000279,0.000080,0.004403
1.190000,-0.000326,0.000001,0.003400
1.195000,-0.000409,-0.000133,0.002216
1.200000,-0.000478,-0.000242,0.001646
1.205000,-0.000577,-0.000393,0.001126
1.210001,-0.000632,-0.000472,0.000946
1.215001,-0.000714,-0.000591,0.000853
1.220001,-0.000764,-0.000663,0.000872
1.225001,-0.000816,-0.000739,0.000996
1.230001,-0.000836,-0.000766,0.001119
1.235002,-0.000836,-0.000759,0.001310
1.240002,-0.000822,-0.000736,0.001419
1.245002,-0.000777,-0.000669,0.001522
1.250002,-0.000737,-0.000613,0.001543
1.255003,-0.000698,-0.000559,0.001498
1.260003,-0.000677,-0.000532,0.001423
1.265003,-0.000645,-0.000495,0.001260
1.270003,-0.000616,-0.000462,0.001136
1.275004,-0.000581,-0.000425,0.000950
1.280004,-0.000565,-0.000409,0.000847
1.285004,-0.000556,-0.000400,0.000680
1.290004,-0.000560,-0.000408,0.000537
1.295004,-0.000547,-0.000398,0.000319
1.300005,-0.000530,-0.000380,0.000191
1.305005,-0.000503,-0.000352,0.000035
1.310005,-0.000493,-0.000339,-0.000072
1.315005,-0.000506,-0.000353,-0.000189
1.320006,-0.000524,-0.000373,-0.000240
1.325006,-0.000549,-0.000401,-0.000281
1.330006,-0.000557,-0.000408,-0.000309
1.335006,-0.000549,-0.000398,-0.000352
1.340007,-0.000548,-0.000397,-0.000437
1.345007,-0.000527,-0.000377,-0.000714
1.350007,-0.000506,-0.000355,-0.001047
1.355007,-0.000496,-0.000343,-0.001750
1.360008,-0.000503,-0.000349,-0.002351
1.365008,-0.000504,-0.000354,-0.003367
1.370008,-0.000503,-0.000356,-0.004081
1.375008,-0.000485,-0.000339,-0.005148
1.380008,-0.000476,-0.000333,-0.005831
1.385009,-0.000474,-0.000339,-0.006784
1.390009,-0.000475,-0.000348,-0.007342
1.395009,-0.000482,-0.000367,-0.008017
1.400009,-0.000489,-0.000384,-0.008358
1.405010,-0.000493,-0.000404,-0.008717
1.410010,-0.000491,-0.000412,-0.008864
1.415010,-0.000479,-0.000414,-0.008947
1.420010,-0.000477,-0.000427,-0.008935
1.425011,-0.000468,-0.000431,-0.008861
1.430011,-0.000461,-0.000428,-0.008785
1.435011,-0.000452,-0.000425,-0.008634
1.440011,-0.000452,-0.000431,-0.008535
1.445011,-0.000460,-0.000467,-0.008385
1.450012,-0.000462,-0.000487,-0.008290
1.455012,-0.000460,-0.000497,-0.008159
1.460012,-0.000453,-0.000491,-0.008087
1.465012,-0.000438,-0.000470,-0.007981
1.470013,-0.000426,-0.000445,-0.007907
1.475013,-0.000411,-0.000405,-0.007817
1.480013,-0.000404,-0.000384,-0.007765
1.485013,-0.000397,-0.000365,-0.007679
1.490014,-0.000390,-0.000342,-0.007616
1.495014,-0.000381,-0.000289,-0.007468
1.500014,-0.000376,-0.000246,-0.007349
1.505014,-0.000371,-0.000184,-0.007159
1.510015,-0.000369,-0.000154,-0.007021
1.515015,-0.000368,-0.000142,-0.006802
1.520015,-0.000369,-0.000139,-0.006650
1.525015,-0.000371,-0.000153,-0.006391
1.530015,-0.000370,-0.000184,-0.006233
1.535016,-0.000370,-0.000223,-0.006002
1.540016,-0.000372,-0.000228,-0.005837
1.545016,-0.000374,-0.000231,-0.005567
1.550016,-0.000375,-0.000232,-0.005365
1.555017,-0.000376,-0.000236,-0.005035
1.560017,-0.000378,-0.000229,-0.004808
1.565017,-0.000381,-0.000239,-0.004468
1.570017,-0.000386,-0.000235,-0.004223
1.575018,-0.000395,-0.000223,-0.003853
1.580018,-0.000400,-0.000218,-0.003613
1.585018,-0.000406,-0.000209,-0.003289
1.590018,-0.000407,-0.000211,-0.003091
1.595019,-0.000408,-0.000215,-0.002821
1.600019,-0.000411,-0.000203,-0.002638
1.605019,-0.000414,-0.000187,-0.002353
1.610019,-0.000422,-0.000155,-0.002172
1.615019,-0.000430,-0.000119,-0.001901
1.620020,-0.000433,-0.000107,-0.001741
1.625020,-0.000440,-0.000079,-0.001474
1.630020,-0.000448,-0.000049,-0.001299
1.635020,-0.000468,0.000016,-0.001080
1.640021,-0.000482,0.000060,-0.000947
1.645021,-0.000493,0.000089,-0.000732
1.650021,-0.000494,0.000086,-0.000597
1.655021,-0.000499,0.000094,-0.000402
1.660022,-0.000499,0.000093,-0.000254
1.665022,-0.000490,0.000068,-0.000039
1.670022,-0.000486,0.000056,0.000113
1.675022,-0.000477,0.000022,0.000328
1.680022,-0.000467,-0.000009,0.000454
1.685023,-0.000450,-0.000077,0.000590
1.690023,-0.000436,-0.000133,0.000664
1.695023,-0.000423,-0.000191,0.000779
1.700023,-0.000417,-0.000213,0.000842
1.705024,-0.000413,-0.000233,0.000929
1.710024,-0.000416,-0.000226,0.000978
1.715024,-0.000422,-0.000210,0.001035
1.720024,-0.000423,-0.000207,0.001070
1.725025,-0.000430,-0.000177,0.001111
1.730025,-0.000438,-0.000142,0.001128
1.735025,-0.000455,-0.000066,0.001161
1.740025,-0.000464,-0.000027,0.001176
1.745026,-0.000473,0.000011,0.001217
1.750026,-0.000478,0.000036,0.001247
1.755026,-0.000475,0.000022,0.001300
1.760026,-0.000469,-0.000006,0.001329
1.765026,-0.000462,-0.000049,0.001360
1.770027,-0.000458,-0.000085,0.001367
1.775027,-0.000455,-0.000116,0.001360
1.780027,-0.000454,-0.000124,0.001344
1.785027,-0.000454,-0.000120,0.001327
1.790028,-0.000454,-0.000116,0.001310
1.795028,-0.000453,-0.000125,0.001292
1.800028,-0.000454,-0.000120,0.001260
1.805028,-0.000455,-0.000119,0.001195
1.810029,-0.000462,-0.000054,0.001070
1.815029,-0.000497,0.000322,0.000589
1.820029,-0.000537,0.000792,0.000073
1.825029,-0.000615,0.001756,-0.000966
1.830029,-0.000684,0.002562,-0.001846
1.835030,-0.000831,0.003960,-0.003388
1.840030,-0.000971,0.005005,-0.004524
1.845030,-0.001262,0.006581,-0.006351
1.850030,-0.001523,0.007591,-0.007563
1.855031,-0.002023,0.008943,-0.009283
1.860031,-0.002432,0.009715,-0.010349
1.865031,-0.003116,0.010540,-0.011685
1.870031,-0.003578,0.010804,-0.012341
1.875032,-0.004216,0.010769,-0.012923
1.880032,-0.004581,0.010518,-0.013071
1.885032,-0.005008,0.009890,-0.013006
1.890032,-0.005196,0.009336,-0.012798
1.895033,-0.005326,0.008392,-0.012249
1.900033,-0.005316,0.007722,-0.011757
1.905033,-0.005164,0.006710,-0.010881
1.910033,-0.005009,0.006088,-0.010288
1.915033,-0.004760,0.005299,-0.009457
1.920034,-0.004607,0.004877,-0.008969
1.925034,-0.004360,0.004324,-0.008260
1.930034,-0.004172,0.003987,-0.007742
1.935034,-0.003837,0.003505,-0.006861
1.940035,-0.003554,0.003169,-0.006170
1.945035,-0.002800,0.002424,-0.004629
1.950035,-0.002098,0.001797,-0.003275
1.955035,-0.000825,0.000702,-0.000981
1.960036,0.000128,-0.000119,0.000667
1.965036,0.001613,-0.001465,0.003214
1.970036,0.002602,-0.002447,0.004931
1.975036,0.004000,-0.004059,0.007436
1.980036,0.004851,-0.005253,0.009029
