MsgID.GLOBAL_POSITION,1526556954.4965720,-122.3974503,37.7924790,0.0870000
MsgID.LOCAL_VELOCITY,1526556954.4965720,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526556954.4965720,-0.1630374,0.2657917,-0.0853028
MsgID.LOCAL_VELOCITY,1526556954.4965720,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1526556954.4965720,-122.3974515,37.7924790,0.0550000
MsgID.LOCAL_VELOCITY,1526556954.4965720,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526556954.4975729,-0.1571679,0.1272889,-0.0510274
MsgID.LOCAL_VELOCITY,1526556954.4975729,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1526556954.4975729,-122.3974523,37.7924793,0.0200000
MsgID.LOCAL_VELOCITY,1526556954.4975729,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526556954.4975729,-0.1283361,0.0899732,-0.0190250
MsgID.LOCAL_VELOCITY,1526556954.4975729,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1526556954.4975729,False,False
MsgID.GLOBAL_HOME,1526556954.4995890,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1526556954.4995890,-122.3974505,37.7924781,-0.0120000
MsgID.LOCAL_VELOCITY,1526556954.4995890,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526556954.4995890,-0.2736548,0.2510660,0.0164507
MsgID.LOCAL_VELOCITY,1526556954.4995890,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1526556954.4995890,-122.3974507,37.7924784,-0.0410000
MsgID.LOCAL_VELOCITY,1526556954.4995890,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526556954.5005889,-0.2182799,0.2244971,0.0428698
MsgID.LOCAL_VELOCITY,1526556954.5005889,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1526556954.5005889,-122.3974508,37.7924792,-0.0600000
MsgID.LOCAL_VELOCITY,1526556954.5005889,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526556954.5005889,-0.1419782,0.2185981,0.0628161
MsgID.LOCAL_VELOCITY,1526556954.5005889,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1526556954.5005889,-122.3974505,37.7924787,-0.0700000
MsgID.LOCAL_VELOCITY,1526556954.5005889,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526556954.5005889,-0.1846714,0.2453794,0.0705323
MsgID.LOCAL_VELOCITY,1526556954.5005889,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1526556954.5015898,False,False
MsgID.GLOBAL_HOME,1526556954.5015898,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1526556954.5015898,-122.3974491,37.7924790,-0.0680000
MsgID.LOCAL_VELOCITY,1526556954.5015898,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526556954.5015898,-0.1621434,0.3869990,0.0678453
MsgID.LOCAL_VELOCITY,1526556954.5015898,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1526556954.7157254,-122.3974491,37.7924789,-0.0580000
MsgID.LOCAL_VELOCITY,1526556954.7157254,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526556954.7457483,-0.1711980,0.3642333,0.0572183
MsgID.LOCAL_VELOCITY,1526556954.7457483,-0.0000102,-0.0000068,0.0000047
MsgID.GLOBAL_POSITION,1526556954.9649544,-122.3974506,37.7924779,-0.0420000
MsgID.LOCAL_VELOCITY,1526556954.9649544,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526556954.9939213,-0.2924762,0.2308841,0.0408524
MsgID.LOCAL_VELOCITY,1526556954.9939213,-0.0000169,-0.0000267,0.0000076
